# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      63.743       95.900     3517.133     8860.367
      63.858      106.000     3530.281     8860.367
      63.971       96.400     3543.688     8860.367
      64.085      105.500     3557.094     8860.367
      64.199        8.700     3561.152     8864.422
      64.314        0.000     3561.152     8864.422
      64.427        8.700     3561.152     8864.422
      64.542        0.000     3561.152     8864.422
      64.655        8.700     3561.152     8864.422
      64.770        8.800     3561.152     8864.422
      64.884        8.700     3561.152     8864.422
      64.998       17.600     3561.152     8864.422
      65.111        8.700     3561.152     8864.422
      65.226        8.800     3561.152     8864.422
      65.339       26.100     3561.152     8864.422
      65.454       17.300     3561.152     8864.422
      65.570       26.400     3561.152     8864.422
      65.683       34.800     3561.152     8864.422
      65.798       26.500     3561.152     8864.422
      65.911       34.800     3561.152     8864.422
      66.026       44.100     3561.152     8864.422
      66.140       43.900     3561.152     8864.422
      66.254       52.800     3561.152     8864.422
      66.367       52.200     3561.152     8864.422
      66.482       62.300     3561.152     8864.422
      66.595       53.000     3561.152     8864.422
      66.708       61.000     3561.152     8864.422
      66.823       52.400     3561.152     8864.422
      66.937       61.500     3561.152     8864.422
      67.051       60.700     3561.152     8864.422
      67.166       52.900     3561.152     8864.422
      67.280       60.900     3561.152     8864.422
      67.395       60.600     3561.152     8864.422
      67.510       52.900     3561.152     8864.422
      67.624       43.500     3561.152     8864.422
      67.738       70.700     3561.152     8864.422
      67.852       52.600     3561.152     8864.422
      67.966       62.100     3561.152     8864.422
      68.078       97.200     3561.668     8864.914
      68.191      105.100     3561.668     8864.914
      68.306       97.300     3561.668     8864.914
      68.419       95.400     3561.668     8864.914
      68.534       97.000     3561.668     8864.914
      68.647      104.600     3561.668     8864.914
      68.762      103.800     3561.668     8864.914
      68.878      106.100     3561.668     8864.914
      68.991       96.300     3564.504     9079.535
      69.105       96.500     3577.652     9079.535
      69.219      104.300     3591.059     9079.535
      69.334       97.700     3604.207     9079.535
      69.447       98.300     3617.098     9079.535
      69.559      106.300     3630.246     9079.535
      69.671       96.300     3643.395     9079.535
      69.786       96.800     3656.543     9079.535
      69.899      105.300     3669.949     9079.535
      70.013       96.500     3683.098     9079.535
      70.127       95.900     3696.504     9079.535
      70.242       97.500     3709.652     9079.535
      70.355      104.400     3722.801     9079.535
      70.470       97.000     3735.949     9079.535
      70.583      105.000     3749.098     9079.535
      70.697      105.500     3761.730     9079.535
      70.811       95.000     3774.879     9079.535
      70.927       17.400     3776.168     9079.535
      71.042        0.000     3776.168     9079.535
      71.155        0.000     3776.168     9079.535
      71.270       17.600     3776.168     9079.535
      71.383       43.500     3776.168     9079.535
      71.498       35.600     3776.168     9079.535
      71.611       35.400     3776.168     9079.535
      71.724       26.100     3776.168     9079.535
      71.838       44.400     3776.168     9079.535
      71.951       35.000     3776.168     9079.535
      72.065       34.500     3776.168     9079.535
      72.181       35.200     3776.168     9079.535
      72.295       43.700     3776.168     9079.535
      72.410       35.200     3776.168     9079.535
      72.523       43.500     3776.168     9079.535
      72.638       35.200     3776.168     9079.535
      72.752       26.200     3776.168     9079.535
      72.867       34.700     3776.168     9079.535
      72.982       80.000     3776.941     9080.324
      73.094       97.300     3776.941     9080.324
      73.207       95.800     3776.941     9080.324
      73.322      106.200     3780.809     9156.594
      73.435       95.700     3791.121     9156.594
      73.550      106.200     3801.434     9156.594
      73.663       95.800     3811.746     9156.594
      73.778       97.000     3822.059     9156.594
      73.891      104.300     3832.371     9156.594
      74.007       97.500     3845.262     9156.594
      74.119      105.200     3860.918     9232.906
      74.233       88.000     3879.223     9232.906
      74.347      113.900     3897.527     9232.906
      74.461       88.000     3915.574     9232.906
      74.575      104.200     3961.980     9309.176
      74.690       52.900     3939.234     9257.910
      74.804       96.200     3994.582    12617.793
      74.918       96.600     4407.082    12617.793
      75.032      104.600     4767.758    12617.793
      75.146       88.100     4806.191    12632.832
      75.260       86.400     4856.797    12659.336
      75.376      104.100     4869.785    12734.137
      75.491      104.100     4879.609    12744.832
      75.606      105.800     4888.059    12759.227
      75.720       95.600     4896.371    12767.570
      75.835       97.300     4903.762    12774.859
      75.948      104.400     4910.246    12782.391
      76.063       97.200     4959.160    12863.250
      76.176       95.800     4921.230    12854.086
      76.290      106.200     4930.254    12854.086
      76.403      104.300     4944.434    12854.086
      76.518       97.000     4958.613    12854.086
      76.632       95.800     4973.051    12854.086
      76.747      104.000     4987.488    12854.086
      76.862       96.900     4991.621    12863.617
      76.976        8.700     4999.820    12879.090
      77.091       97.200     5025.781    16238.844
      77.204      104.300     5328.582    16238.973
      77.319       95.200     5716.754    16238.973
      77.435       97.100     5848.586    16246.879
      77.548       87.000     5873.988    16258.031
      77.663      103.900     5916.141    16280.387
      77.778       87.800     5927.883    16354.410
      77.892      104.700     5938.605    16366.008
      78.007       97.100     5947.402    16380.406
      78.120      104.900     5957.254    16390.543
      78.234       97.000     5963.930    16397.051
